id,screen_name,text,url,timestamp,choose_one_category,crisis_related,choose_one_category_a1,choose_one_category_a2,choose_one_category_a3
721627947832979456,ErikaGarza_Tv,The death toll is 77 in Ecuador after a 7.8 earthquake shook the South American country...… https://t.co/xh38pnjAKs,https://www.twitter.com/ErikaGarza_Tv/status/721627947832979456,2016-04-17 09:14:44,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721719744869478400,rr_rr_rr_11,Magnitude-7.8 earthquake hits Ecuador https://t.co/iiFoWwPVEU,https://www.twitter.com/rr_rr_rr_11/status/721719744869478400,2016-04-17 15:19:30,other_useful_information,yes,other_useful_information,other_useful_information,other_useful_information
721706927881723905,LimAiYim,"Retweeted EarthSky (@earthskyscience):  Ecuador struck by 7.8-magnitude earthquake last night, strongest in that... https://t.co/dLswLFA2FF",https://www.twitter.com/LimAiYim/status/721706927881723905,2016-04-17 14:28:34,other_useful_information,yes,other_useful_information,other_useful_information,other_useful_information
721605773445324800,cachejobscom,"#jobs # #Major earthquake rocks Ecuador, killing at least 41:              #An hotel barely stands after an ea... https://t.co/8yRVRgtP09",https://www.twitter.com/cachejobscom/status/721605773445324800,2016-04-17 07:46:37,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721621866394177540,follownewsnow,#wikileaks Assange: 7.8 earthquake in #Ecuador kills at least 77--possibly hundreds. Tsunami warning given. The world ...  @FollowNewsNow,https://www.twitter.com/follownewsnow/status/721621866394177540,2016-04-17 08:50:34,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721566686843940864,ITSBLAZE,first Japan gets rocked by a 7.4 earthquake now ecuador gets slammed with a 7.8 earthquake. The lord does not like foreigners apparently.,https://www.twitter.com/ITSBLAZE/status/721566686843940864,2016-04-17 05:11:18,sympathy_and_emotional_support,yes,sympathy_and_emotional_support,sympathy_and_emotional_support,sympathy_and_emotional_support
721564624840040449,Youtube00000011,VIDEO: The moment Ecuador earthquake struck: A powerful 7.8-magnitude earthquake has killed at least 28 people... https://t.co/jEQ6JUVy2X,https://www.twitter.com/Youtube00000011/status/721564624840040449,2016-04-17 05:03:07,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721600981763559424,UnknownComment,Powerful earthquake kills at least 77 in Ecuador https://t.co/HBKT477u0G,https://www.twitter.com/UnknownComment/status/721600981763559424,2016-04-17 07:27:35,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721586376911806464,Reinilla,@BBCNews Nervous about the earthquake here in Ecuador,https://www.twitter.com/Reinilla/status/721586376911806464,2016-04-17 06:29:33,sympathy_and_emotional_support,yes,sympathy_and_emotional_support,sympathy_and_emotional_support,sympathy_and_emotional_support
721714594490626052,empireonenews,"Powerful Ecuador Earthquake Leaves 41 People Dead: A powerful, 7.8-magnitude earthquake has shaken Ecuador’s n... https://t.co/YEeXaHMmZF",https://www.twitter.com/empireonenews/status/721714594490626052,2016-04-17 14:59:02,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721584168052793344,LixenTk,"Powerful earthquake hits Ecuador; at least 41 killed: (CNN) A major earthquake hit Ecuador's central coast, ki... https://t.co/uZoLDe0QLI",https://www.twitter.com/LixenTk/status/721584168052793344,2016-04-17 06:20:46,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721679191419129856,Charles_BSwans,Powerful earthquake kills dozens in Ecuador - The Washington Post https://t.co/Vo5zFwZSkK,https://www.twitter.com/Charles_BSwans/status/721679191419129856,2016-04-17 12:38:22,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721584375356334081,adsensejobcom,"#jobs #jobsearch # #Major earthquake rocks Ecuador, killing at least 41:              #President Rafael Correa... https://t.co/FwKUGmdG6q",https://www.twitter.com/adsensejobcom/status/721584375356334081,2016-04-17 06:21:36,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721634871567851520,mpfoster11,"Ecuador vice president says powerful earthquake kills 77, more than 570 injured | Fox News | https://t.co/By4F93Hn5B",https://www.twitter.com/mpfoster11/status/721634871567851520,2016-04-17 09:42:15,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721661985558020096,Lucho_teleSUR,Another example of damaged roads here in Ecuador post earthquake https://t.co/3SHgesGgHB,https://www.twitter.com/Lucho_teleSUR/status/721661985558020096,2016-04-17 11:29:59,infrastructure_and_utilities_damage,yes,infrastructure_and_utilities_damage,infrastructure_and_utilities_damage,infrastructure_and_utilities_damage
721604117886590976,GeographyHOE,BBC News - Ecuador earthquake of 7.8 magnitude kills dozens https://t.co/w5FVRhJv2w,https://www.twitter.com/GeographyHOE/status/721604117886590976,2016-04-17 07:40:03,injured_or_dead_people,yes,injured_or_dead_people,injured_or_dead_people,injured_or_dead_people
721625757810753536,themapstoriesuk,"Destructive 7.8-magnitude earthquake kills 77 in Ecuador, topples buildings https://t.co/VnqLuW7gJQ https://t.co/MqA3ZQ8jVy",https://www.twitter.com/themapstoriesuk/status/721625757810753536,2016-04-17 09:06:02,infrastructure_and_utilities_damage,yes,infrastructure_and_utilities_damage,infrastructure_and_utilities_damage,infrastructure_and_utilities_damage
