conversation_deep,choose_one_category,id
1,caution_and_advice,57
1,displaced_people_and_evacuations,12
1,donation_needs_or_offers_or_volunteering_services,175
1,infrastructure_and_utilities_damage,152
1,injured_or_dead_people,622
1,missing_trapped_or_found_people,30
1,not_related_or_irrelevant,298
1,other_useful_information,522
1,sympathy_and_emotional_support,331
2,donation_needs_or_offers_or_volunteering_services,8
2,not_related_or_irrelevant,186
2,other_useful_information,41
2,sympathy_and_emotional_support,23
3,donation_needs_or_offers_or_volunteering_services,9
3,not_related_or_irrelevant,200
3,other_useful_information,46
3,sympathy_and_emotional_support,12
4,donation_needs_or_offers_or_volunteering_services,7
4,not_related_or_irrelevant,222
4,other_useful_information,32
4,sympathy_and_emotional_support,17
5,caution_and_advice,2
5,donation_needs_or_offers_or_volunteering_services,16
5,infrastructure_and_utilities_damage,2
5,not_related_or_irrelevant,223
5,other_useful_information,29
5,sympathy_and_emotional_support,22
6,caution_and_advice,1
6,donation_needs_or_offers_or_volunteering_services,10
6,infrastructure_and_utilities_damage,2
6,injured_or_dead_people,1
6,not_related_or_irrelevant,373
6,other_useful_information,39
6,sympathy_and_emotional_support,25
7,caution_and_advice,1
7,donation_needs_or_offers_or_volunteering_services,3
7,infrastructure_and_utilities_damage,1
7,injured_or_dead_people,1
7,not_related_or_irrelevant,168
7,other_useful_information,24
7,sympathy_and_emotional_support,11
8,donation_needs_or_offers_or_volunteering_services,5
8,not_related_or_irrelevant,97
8,other_useful_information,15
8,sympathy_and_emotional_support,4
9,donation_needs_or_offers_or_volunteering_services,1
9,not_related_or_irrelevant,48
9,other_useful_information,4
9,sympathy_and_emotional_support,5
10,not_related_or_irrelevant,10
10,other_useful_information,1
10,sympathy_and_emotional_support,1
11,not_related_or_irrelevant,6
12,not_related_or_irrelevant,4
13,not_related_or_irrelevant,2
14,not_related_or_irrelevant,2
15,not_related_or_irrelevant,1
16,not_related_or_irrelevant,1
17,not_related_or_irrelevant,1
18,not_related_or_irrelevant,1
19,not_related_or_irrelevant,1
20,not_related_or_irrelevant,1
21,not_related_or_irrelevant,1
